,tenure,TotalCharges,OnlineSecurity,OnlineBackup,TechSupport,Contract,Churn
4554,20,2203.7,Yes,Yes,Yes,Month-to-month,No
3975,20,1727.5,No,No,No,Month-to-month,Yes
4847,37,2841.55,No,No,No,Month-to-month,Yes
5719,24,494.05,No internet service,No internet service,No internet service,Two year,No
2818,29,2649.15,Yes,No,No,Month-to-month,Yes
1702,21,2200.25,Yes,No,No,Month-to-month,Yes
4428,19,2012.7,No,No,Yes,Month-to-month,Yes
4808,54,4299.95,Yes,No,Yes,Two year,No
3790,2,28.3,No internet service,No internet service,No internet service,One year,Yes
5722,27,2867.75,Yes,No,Yes,Month-to-month,Yes
4041,46,2893.4,Yes,No,Yes,Two year,No
2094,18,391.7,No internet service,No internet service,No internet service,Month-to-month,No
2843,52,1070.5,No internet service,No internet service,No internet service,Two year,No
641,43,2499.3,No,No,No,Month-to-month,Yes
6140,3,58.0,No internet service,No internet service,No internet service,Month-to-month,No
3882,4,176.2,No,No,No,Month-to-month,No
4405,6,477.55,No,Yes,No,Month-to-month,Yes
297,35,3437.5,No,No,No,Month-to-month,No
303,68,4109.0,No,Yes,Yes,Two year,No
2406,5,512.45,No,Yes,No,Month-to-month,Yes
5816,3,122.7,No,No,No,Month-to-month,No
3154,4,317.75,No,Yes,No,Month-to-month,No
1839,4,116.95,No internet service,No internet service,No internet service,Two year,No
4384,2,165.0,No,Yes,No,Month-to-month,Yes
4306,40,4469.1,Yes,Yes,Yes,Month-to-month,No
655,10,865.1,No,No,Yes,Month-to-month,No
4139,24,2088.45,No,Yes,No,Month-to-month,No
4686,72,7748.75,Yes,Yes,Yes,Two year,No
4775,24,2431.35,No,Yes,No,Month-to-month,Yes
240,72,6350.5,No,Yes,Yes,Two year,No
783,1,52.2,No,No,Yes,Month-to-month,Yes
1354,18,1639.3,No,No,Yes,Month-to-month,Yes
1018,4,162.45,No,No,Yes,Month-to-month,No
4912,36,3186.7,Yes,No,No,Month-to-month,Yes
977,11,888.65,No,No,No,Month-to-month,No
809,1,69.55,No,No,No,Month-to-month,Yes
6755,42,3313.4,No,No,No,Month-to-month,No
5036,16,1375.15,No,No,No,Month-to-month,Yes
257,50,5791.1,Yes,Yes,Yes,One year,No
893,1,24.6,No,No,No,Month-to-month,Yes
5936,38,756.4,No internet service,No internet service,No internet service,Two year,No
4366,24,1857.75,Yes,No,No,Month-to-month,No
3589,31,1825.5,No,No,No,Month-to-month,No
5162,8,159.2,No internet service,No internet service,No internet service,Month-to-month,No
5229,43,4533.9,No,No,Yes,One year,Yes
5167,57,4124.65,Yes,Yes,Yes,Two year,No
3288,13,272.35,No internet service,No internet service,No internet service,Two year,No
6698,40,3488.15,No,Yes,Yes,One year,No
2132,23,436.9,No internet service,No internet service,No internet service,One year,No
6243,72,5959.3,Yes,Yes,No,Two year,No
5520,55,4589.85,Yes,No,No,One year,No
1357,48,5315.1,Yes,Yes,No,Month-to-month,No
1561,1,74.95,No,No,No,Month-to-month,Yes
6054,36,3457.9,No,Yes,No,Month-to-month,Yes
2251,11,712.25,No,No,No,Month-to-month,No
5474,1,84.6,No,No,No,Month-to-month,No
2471,53,5149.5,No,Yes,No,Month-to-month,Yes
3133,70,3635.15,No,Yes,Yes,One year,No
2024,12,1184.0,No,No,No,One year,No
4687,22,1914.9,No,No,No,Month-to-month,Yes
2986,55,3842.6,No,No,No,Two year,No
2042,28,1867.6,No,Yes,Yes,Month-to-month,No
4905,58,1158.85,No internet service,No internet service,No internet service,Two year,No
2876,19,386.5,No internet service,No internet service,No internet service,One year,No
2669,19,1789.25,Yes,Yes,No,Month-to-month,Yes
4756,31,2156.25,Yes,Yes,Yes,Month-to-month,No
5728,13,1132.35,No,Yes,Yes,Month-to-month,Yes
4098,1,20.2,No internet service,No internet service,No internet service,Month-to-month,Yes
7018,1,70.65,No,No,No,Month-to-month,Yes
3806,18,1359.45,No,Yes,No,Month-to-month,No
6842,13,257.0,No internet service,No internet service,No internet service,One year,No
3475,2,31.9,No internet service,No internet service,No internet service,One year,No
1092,70,4523.25,Yes,Yes,Yes,Two year,No
5867,44,847.25,No internet service,No internet service,No internet service,Two year,No
124,4,62.9,No internet service,No internet service,No internet service,Month-to-month,No
4152,65,4929.55,Yes,No,Yes,Two year,No
6882,71,7181.25,Yes,Yes,Yes,One year,No
4489,64,3399.85,No,Yes,No,One year,No
2922,28,2602.9,Yes,No,No,Month-to-month,Yes
2516,16,1581.2,No,No,No,Month-to-month,Yes
6038,70,7723.9,Yes,Yes,Yes,Two year,Yes
1553,39,3107.3,No,No,Yes,Month-to-month,No
3482,19,865.85,No,No,No,Month-to-month,No
2886,60,6236.75,Yes,No,Yes,Month-to-month,No
598,51,4614.55,No,Yes,No,One year,No
75,56,6139.5,Yes,Yes,No,One year,No
1339,66,7133.25,No,Yes,No,Month-to-month,Yes
1416,58,3166.9,No,No,Yes,Two year,No
4772,69,4134.7,No,Yes,Yes,One year,No
1649,27,1439.35,No,Yes,Yes,Month-to-month,No
5652,1,48.6,No,Yes,No,Month-to-month,No
3206,6,109.2,No internet service,No internet service,No internet service,Month-to-month,No
4024,7,189.95,No,No,No,Month-to-month,No
2829,8,560.85,No,No,No,Month-to-month,Yes
149,15,1071.4,No,Yes,Yes,Month-to-month,No
3001,9,181.8,No internet service,No internet service,No internet service,Month-to-month,No
1557,12,832.3,Yes,Yes,Yes,Month-to-month,No
3931,25,1837.7,Yes,Yes,Yes,Month-to-month,No
453,28,2227.1,No,No,No,Month-to-month,Yes
4427,49,4917.75,No,No,Yes,Two year,No
1832,57,2572.95,No,No,No,Month-to-month,Yes
3250,11,184.95,No internet service,No internet service,No internet service,One year,No
5663,37,3314.15,No,No,No,Month-to-month,No
808,40,4113.1,No,Yes,No,Month-to-month,Yes
2002,54,2460.55,Yes,No,Yes,Two year,No
3353,12,999.8,No,Yes,No,Month-to-month,No
3824,4,238.5,No,No,No,Month-to-month,No
1671,66,7031.3,Yes,Yes,No,One year,No
1119,70,4144.8,Yes,No,Yes,Two year,No
4353,1,74.9,No,No,No,Month-to-month,Yes
810,58,6017.65,No,Yes,No,One year,Yes
1129,47,3865.6,No,No,No,Month-to-month,No
834,4,292.8,No,No,No,Month-to-month,Yes
6124,57,3274.35,Yes,No,Yes,One year,No
5413,15,1505.45,No,No,No,Month-to-month,No
6732,24,2259.35,No,No,Yes,Month-to-month,No
1971,20,433.75,No internet service,No internet service,No internet service,One year,No
1235,61,6066.55,No,Yes,Yes,One year,No
1225,16,810.2,No,No,Yes,Month-to-month,Yes
4051,72,6869.7,No,Yes,No,Two year,No
2344,14,692.35,Yes,No,Yes,Two year,No
6227,2,80.35,No,No,No,Month-to-month,Yes
4352,64,5960.5,Yes,Yes,No,Month-to-month,No
2273,30,576.65,No internet service,No internet service,No internet service,One year,No
1729,64,5692.65,Yes,Yes,No,One year,No
6785,61,6876.05,Yes,No,Yes,Two year,Yes
2181,50,4164.4,No,Yes,Yes,One year,No
1027,47,4615.25,Yes,No,No,One year,No
3082,51,3043.6,Yes,No,Yes,One year,No
5205,37,3382.3,Yes,Yes,No,Month-to-month,No
349,64,6430.9,Yes,Yes,No,One year,No
452,60,3582.4,No,Yes,Yes,Month-to-month,No
662,1,20.05,No internet service,No internet service,No internet service,Month-to-month,No
172,14,1181.75,No,Yes,Yes,Two year,No
1405,1,76.0,No,No,No,Month-to-month,Yes
5857,17,1460.65,No,No,No,Month-to-month,Yes
4250,63,6590.8,Yes,Yes,Yes,One year,No
4550,72,1988.05,No internet service,No internet service,No internet service,Two year,No
422,29,2830.45,No,Yes,Yes,One year,No
3017,18,1087.45,Yes,Yes,Yes,One year,No
3326,38,2497.35,No,Yes,Yes,One year,Yes
881,26,504.2,No internet service,No internet service,No internet service,One year,No
3450,70,7308.95,No,Yes,No,One year,No
1253,7,523.15,No,No,No,Month-to-month,Yes
6268,22,450.65,No internet service,No internet service,No internet service,One year,No
6210,25,1266.35,No,Yes,Yes,One year,No
2225,33,1309.0,No,Yes,No,One year,No
4121,27,2510.2,No,Yes,No,Month-to-month,Yes
6563,15,1107.25,No,No,No,Month-to-month,Yes
1905,41,962.25,No internet service,No internet service,No internet service,One year,No
102,38,3605.6,No,No,Yes,One year,No
3014,44,4040.2,No,No,No,Month-to-month,No
4301,66,1344.5,No internet service,No internet service,No internet service,Two year,No
6678,19,467.5,No internet service,No internet service,No internet service,Two year,No
4269,17,1454.15,Yes,Yes,No,Month-to-month,Yes
2447,7,490.55,No,No,No,Month-to-month,No
1580,21,1497.05,No,Yes,No,One year,No
3803,61,5638.3,No,Yes,Yes,Two year,Yes
3481,4,214.55,No,No,No,Month-to-month,No
4871,58,4300.8,No,Yes,Yes,One year,No
3877,21,1157.05,Yes,No,No,One year,Yes
5192,60,1189.9,No internet service,No internet service,No internet service,Two year,No
135,43,1188.2,No internet service,No internet service,No internet service,Two year,No
2521,36,3132.75,No,No,No,Month-to-month,Yes
4151,57,3094.05,No,Yes,No,Month-to-month,No
1918,24,1348.5,Yes,No,Yes,Month-to-month,No
6332,68,7173.15,Yes,Yes,No,Two year,No
4697,72,6747.35,No,No,No,Month-to-month,No
4750,9,373.0,Yes,Yes,No,One year,No
2666,66,5196.1,No,Yes,Yes,Two year,No
5110,8,632.2,No,No,No,Month-to-month,No
2925,50,5153.5,No,No,Yes,One year,No
3066,10,777.3,No,No,No,Month-to-month,No
1789,54,1621.35,No,Yes,No,Month-to-month,No
5288,1,79.65,No,No,No,Month-to-month,Yes
807,71,7616.0,Yes,No,Yes,Two year,No
462,4,385.9,No,No,No,Month-to-month,Yes
879,33,1665.2,No,Yes,No,Month-to-month,No
3248,10,856.65,No,No,No,Month-to-month,Yes
4726,72,3580.95,Yes,Yes,No,Two year,No
5680,1,20.85,No internet service,No internet service,No internet service,Month-to-month,Yes
6790,67,1790.35,No internet service,No internet service,No internet service,Two year,No
4377,22,1706.45,No,No,No,Month-to-month,No
799,62,6125.4,No,No,No,One year,Yes
354,21,840.1,Yes,No,No,Month-to-month,Yes
3964,68,7511.3,Yes,No,Yes,Two year,No
1073,7,713.0,No,No,No,Month-to-month,Yes
3101,58,4526.85,Yes,No,No,Month-to-month,No
5594,23,1849.95,No,No,No,Month-to-month,No
144,71,1756.2,No internet service,No internet service,No internet service,Two year,No
380,41,3339.05,No,Yes,Yes,One year,No
1340,0,,Yes,Yes,Yes,Two year,No
4168,61,3778.85,Yes,No,Yes,Two year,No
6510,46,4630.2,Yes,No,Yes,Two year,No
121,6,112.75,No internet service,No internet service,No internet service,Month-to-month,No
3745,7,669.0,No,Yes,No,Month-to-month,Yes
3612,21,1558.7,No,No,No,Month-to-month,No
1360,13,1290.0,No,No,No,Month-to-month,Yes
418,22,1845.9,No,Yes,No,Month-to-month,Yes
6348,26,1815.65,No,No,No,Month-to-month,No
5546,4,146.4,Yes,Yes,Yes,Month-to-month,No
1514,63,1215.1,No internet service,No internet service,No internet service,Two year,No
4184,5,343.95,No,No,No,Month-to-month,Yes
5455,6,129.55,No internet service,No internet service,No internet service,Month-to-month,No
3100,55,5073.1,No,Yes,No,Month-to-month,No
2063,51,3966.3,Yes,No,Yes,One year,No
555,56,3808.0,Yes,No,No,One year,No
2312,18,401.85,No internet service,No internet service,No internet service,One year,No
3543,72,7581.5,Yes,Yes,Yes,Two year,No
5440,19,962.9,No,No,No,Month-to-month,No
1485,22,2082.95,No,No,No,Month-to-month,Yes
5017,41,1391.65,No,Yes,Yes,One year,No
1272,5,86.05,No internet service,No internet service,No internet service,Month-to-month,No
6598,57,4166.35,Yes,Yes,Yes,Two year,No
1411,29,2948.6,No,Yes,No,Month-to-month,No
5076,33,3124.5,No,No,No,One year,Yes
6915,72,6841.3,No,No,No,Two year,No
1471,31,2683.2,No,No,No,Month-to-month,No
2266,52,5481.25,Yes,No,Yes,One year,No
5503,35,746.75,No internet service,No internet service,No internet service,One year,No
5077,7,144.15,No internet service,No internet service,No internet service,Two year,No
5635,22,1178.75,No,Yes,No,Month-to-month,No
4154,6,469.8,No,No,No,Month-to-month,Yes
6679,60,2288.7,Yes,Yes,Yes,Two year,No
3165,24,439.75,No internet service,No internet service,No internet service,One year,No
2436,31,2094.65,Yes,No,No,Month-to-month,No
2868,26,2146.5,No,Yes,No,Month-to-month,No
6612,1,69.9,No,No,No,Month-to-month,Yes
981,40,808.95,No internet service,No internet service,No internet service,Two year,No
5974,10,218.5,No internet service,No internet service,No internet service,Month-to-month,No
6063,70,1401.4,No internet service,No internet service,No internet service,Two year,No
3246,3,159.15,No,No,No,Month-to-month,Yes
6207,46,3969.4,Yes,No,No,Month-to-month,Yes
1268,59,6448.05,Yes,Yes,No,One year,Yes
414,48,3545.05,No,No,No,Month-to-month,No
268,59,1099.6,No internet service,No internet service,No internet service,Two year,Yes
3127,29,856.35,No,Yes,No,Month-to-month,Yes
654,8,164.3,No internet service,No internet service,No internet service,Month-to-month,Yes
3011,9,210.65,No internet service,No internet service,No internet service,Two year,No
6394,8,469.25,Yes,Yes,Yes,One year,No
2223,28,2625.55,No,Yes,No,Month-to-month,Yes
6989,20,1588.75,Yes,No,No,One year,No
2337,56,5510.65,No,Yes,No,One year,Yes
3541,49,2070.75,Yes,No,No,Month-to-month,No
773,5,454.15,Yes,No,No,Month-to-month,Yes
2446,18,1527.35,No,Yes,No,Month-to-month,Yes
589,71,6668.05,Yes,Yes,Yes,Two year,No
2907,20,1820.45,No,No,No,Month-to-month,Yes
2127,40,1716.45,Yes,Yes,No,One year,Yes
2996,18,1156.35,Yes,No,No,Month-to-month,No
3896,38,749.35,No internet service,No internet service,No internet service,One year,No
3038,67,7112.15,Yes,Yes,No,One year,No
6441,17,920.5,Yes,No,Yes,Month-to-month,No
2465,1,35.25,No,No,No,Month-to-month,Yes
3377,68,1629.2,No internet service,No internet service,No internet service,Two year,No
701,35,2848.45,No,No,No,Month-to-month,No
5845,3,246.3,No,No,No,Month-to-month,Yes
2301,8,743.75,No,No,Yes,Month-to-month,No
5121,29,1964.6,No,Yes,No,One year,No
677,2,62.25,No,No,No,Month-to-month,Yes
6062,53,4003.85,No,Yes,No,Month-to-month,No
6607,1,25.3,No,No,No,Month-to-month,Yes
2598,7,525.0,No,No,No,Month-to-month,No
2345,4,85.5,No internet service,No internet service,No internet service,Month-to-month,No
4093,29,2215.25,No,No,No,Month-to-month,No
693,3,270.7,No,No,No,Month-to-month,Yes
1513,1,25.8,No,No,No,Month-to-month,Yes
6067,7,264.8,Yes,No,No,One year,No
6105,52,5916.45,Yes,Yes,Yes,One year,Yes
6189,72,6614.9,Yes,Yes,Yes,Two year,No
110,55,5238.9,Yes,Yes,No,Month-to-month,Yes
3852,1,19.65,No internet service,No internet service,No internet service,Month-to-month,No
6474,6,124.45,No internet service,No internet service,No internet service,Two year,No
6270,29,558.8,No internet service,No internet service,No internet service,Two year,No
2131,42,2032.3,Yes,No,Yes,Two year,No
4085,30,1187.05,No,No,Yes,One year,No
1919,1,50.9,No,No,No,Month-to-month,Yes
856,72,6309.65,Yes,Yes,Yes,Two year,No
3408,4,151.3,No,Yes,No,Month-to-month,Yes
5950,1,24.7,No,No,No,Month-to-month,No
6554,1,68.65,No,No,No,Month-to-month,Yes
2510,1,74.25,No,No,No,Month-to-month,Yes
6897,62,4981.15,No,Yes,Yes,Month-to-month,No
4169,15,1457.25,No,Yes,No,Month-to-month,Yes
4392,1,19.2,No internet service,No internet service,No internet service,Month-to-month,No
1758,68,1386.9,No internet service,No internet service,No internet service,Two year,No
3337,7,564.65,No,No,No,Month-to-month,No
3203,72,6520.8,Yes,Yes,Yes,Two year,No
605,72,6094.25,Yes,No,Yes,Two year,No
6986,30,2804.45,No,Yes,Yes,Month-to-month,Yes
3034,1,84.5,No,No,No,Month-to-month,Yes
6691,39,1700.9,Yes,Yes,Yes,One year,No
1468,62,5731.45,Yes,Yes,No,One year,No
5178,53,5718.2,No,Yes,Yes,One year,No
2812,66,6890.0,No,Yes,Yes,One year,Yes
6171,59,5348.65,No,No,No,Month-to-month,No
5079,15,1451.1,No,Yes,Yes,Month-to-month,No
2921,9,829.1,No,No,No,Month-to-month,Yes
107,32,927.65,Yes,No,No,One year,No
29,17,1093.1,No,No,No,Month-to-month,Yes
3780,55,3119.9,No,No,Yes,Two year,No
3150,17,440.2,No,No,No,Month-to-month,No
3616,69,6055.55,Yes,Yes,No,One year,No
5346,66,4798.4,Yes,Yes,No,Two year,No
4940,16,1261.35,No,No,No,Month-to-month,No
751,70,5600.15,Yes,Yes,No,Two year,No
3168,50,1033.0,No internet service,No internet service,No internet service,One year,No
584,3,61.7,No internet service,No internet service,No internet service,Month-to-month,No
1220,17,1111.2,Yes,No,No,Month-to-month,No
5040,20,1826.7,No,Yes,Yes,Month-to-month,No
6614,71,1301.1,No internet service,No internet service,No internet service,Two year,No
3274,34,3634.8,No,Yes,Yes,Month-to-month,No
6053,43,1070.15,No internet service,No internet service,No internet service,Two year,No
548,50,5265.5,Yes,Yes,No,One year,No
5448,41,3930.55,Yes,Yes,No,One year,No
6921,54,4308.25,No,Yes,No,Month-to-month,No
2874,64,1225.65,No internet service,No internet service,No internet service,Two year,No
6548,31,1647.0,No,No,Yes,Month-to-month,No
3715,11,874.2,No,No,No,Month-to-month,No
2291,4,321.65,No,No,No,Month-to-month,Yes
6783,21,1183.2,Yes,Yes,Yes,Two year,No
6887,35,821.6,No internet service,No internet service,No internet service,Two year,No
3396,58,5846.65,Yes,Yes,No,One year,No
4945,20,400.0,No internet service,No internet service,No internet service,Two year,No
1203,60,1505.05,No internet service,No internet service,No internet service,Two year,No
344,41,865.0,No internet service,No internet service,No internet service,One year,No
4328,15,711.15,No,No,No,Month-to-month,No
5907,1,44.3,No,No,No,Month-to-month,No
1575,66,6710.5,No,Yes,No,Month-to-month,Yes
2900,1,69.25,No,No,No,Month-to-month,Yes
6604,2,90.05,No,No,No,Month-to-month,No
3047,32,2585.95,No,Yes,No,Month-to-month,Yes
3131,72,5682.25,Yes,Yes,Yes,Two year,No
5853,62,6001.45,Yes,Yes,No,One year,No
4072,9,718.55,No,No,No,Month-to-month,No
2173,4,308.1,No,No,No,Month-to-month,No
90,30,2570.2,No,Yes,No,Month-to-month,No
7006,40,4036.85,No,Yes,No,Month-to-month,Yes
5487,33,682.15,No internet service,No internet service,No internet service,One year,No
4383,63,5040.2,Yes,Yes,Yes,One year,No
2252,64,1336.65,No internet service,No internet service,No internet service,One year,No
6696,5,500.1,No,Yes,No,Month-to-month,No
624,7,137.6,No internet service,No internet service,No internet service,Month-to-month,Yes
69,10,887.35,Yes,No,No,Month-to-month,No
889,63,6215.35,Yes,Yes,No,Month-to-month,Yes
4845,20,825.4,Yes,No,Yes,Two year,No
5340,38,3187.65,Yes,Yes,No,One year,No
5274,66,7181.95,No,Yes,Yes,One year,No
6868,13,1135.7,No,No,No,Month-to-month,Yes
3921,24,1559.45,Yes,Yes,No,Month-to-month,No
5072,23,2184.85,No,Yes,No,Month-to-month,No
947,32,2896.55,No,No,No,Month-to-month,No
877,51,3077.0,Yes,No,Yes,One year,No
6806,40,780.1,No internet service,No internet service,No internet service,Two year,No
6575,22,1253.5,Yes,No,Yes,Month-to-month,No
2462,1,70.45,Yes,Yes,Yes,Month-to-month,No
293,6,567.8,No,No,No,Month-to-month,No
5446,1,19.65,No internet service,No internet service,No internet service,Month-to-month,Yes
3091,4,79.05,No internet service,No internet service,No internet service,One year,No
445,60,6396.45,No,Yes,No,Month-to-month,Yes
4020,72,4546.0,Yes,Yes,Yes,Two year,No
1961,42,2421.6,Yes,Yes,No,One year,No
2846,2,113.1,Yes,No,No,Month-to-month,No
3614,69,4055.5,Yes,No,Yes,Two year,No
1880,2,165.45,No,No,No,Month-to-month,Yes
5186,1,36.45,No,No,No,Month-to-month,Yes
4690,31,2019.8,No,No,Yes,Month-to-month,No
3570,16,290.55,No internet service,No internet service,No internet service,Two year,No
4917,15,299.4,No internet service,No internet service,No internet service,Month-to-month,No
4678,2,193.8,No,No,No,Month-to-month,Yes
5213,17,1614.7,No,No,No,Month-to-month,No
5030,6,575.45,No,No,No,Month-to-month,Yes
4922,61,3641.5,Yes,Yes,No,Month-to-month,No
367,1,19.15,No internet service,No internet service,No internet service,Month-to-month,No
5243,19,1725.95,No,No,Yes,One year,No
5331,44,2375.2,Yes,Yes,Yes,Two year,No
2540,70,7795.95,Yes,Yes,Yes,Two year,No
6316,63,1573.05,No internet service,No internet service,No internet service,Two year,No
3392,58,2413.05,No,No,No,One year,No
6923,53,3833.95,Yes,Yes,No,One year,No
6455,59,2666.75,No,No,No,Month-to-month,No
4684,69,7262.0,No,Yes,Yes,One year,Yes
3105,26,1237.3,No,No,Yes,Month-to-month,No
3279,23,1423.35,Yes,No,Yes,One year,No
3720,42,2455.05,Yes,No,No,Month-to-month,No
4541,1,50.55,No,No,No,Month-to-month,Yes
4965,6,305.1,No,No,No,Month-to-month,Yes
4581,58,1212.25,No internet service,No internet service,No internet service,Two year,No
3871,3,298.35,No,No,No,Month-to-month,Yes
5020,41,810.45,No internet service,No internet service,No internet service,Two year,No
1186,58,3478.75,Yes,No,Yes,One year,No
3428,51,4750.95,Yes,No,No,Month-to-month,Yes
5004,64,6953.4,No,Yes,Yes,Month-to-month,No
3866,19,485.9,No internet service,No internet service,No internet service,Two year,No
6827,60,4663.4,Yes,Yes,Yes,Month-to-month,No
5349,69,7665.8,Yes,Yes,Yes,Two year,No
6888,3,239.45,No,No,No,Month-to-month,No
151,7,655.5,No,No,No,Month-to-month,Yes
1858,19,1441.1,Yes,No,No,Month-to-month,Yes
2464,1,77.15,No,No,No,Month-to-month,Yes
1033,62,1416.75,No internet service,No internet service,No internet service,Two year,No
1383,1,49.95,No,No,No,Month-to-month,Yes
915,1,73.55,No,No,No,Month-to-month,Yes
1305,28,1646.45,No,No,No,Month-to-month,No
6682,69,6460.55,No,Yes,Yes,Two year,No
3098,30,2365.15,No,Yes,No,Month-to-month,Yes
4983,40,1637.4,No,Yes,No,Month-to-month,Yes
509,1,19.85,No internet service,No internet service,No internet service,Month-to-month,No
5894,45,4740.0,No,Yes,No,Month-to-month,Yes
5963,22,1663.75,No,No,Yes,One year,No
6049,47,1016.7,No internet service,No internet service,No internet service,Two year,No
2647,2,40.9,No internet service,No internet service,No internet service,Month-to-month,No
5799,13,446.1,No,No,No,Month-to-month,Yes
6022,20,347.65,No internet service,No internet service,No internet service,Month-to-month,No
748,48,855.1,No internet service,No internet service,No internet service,Two year,No
2304,67,6733.15,Yes,Yes,No,One year,No
4076,70,6944.5,Yes,Yes,No,Two year,No
5410,64,6375.8,Yes,No,No,Two year,No
1310,34,3207.55,No,No,No,Month-to-month,Yes
1611,72,6468.6,Yes,Yes,Yes,Two year,No
6988,23,1652.1,No,Yes,Yes,Month-to-month,No
911,15,1288.3,No,Yes,No,Month-to-month,No
